CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50081658,IRVING FARMS,Queens,,CENTRAL TERMINAL BUILDING,11371,7037237264,CafÃ©/Coffee/Tea,12/13/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,9,A,12/13/2018,4/12/2020,Pre-permit (Operational) / Initial Inspection,,,,,,,,
50033733,ICHIBANTEI,Manhattan,401,EAST   13 STREET,10009,6463689755,Japanese,2/12/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,,,4/12/2020,Cycle Inspection / Initial Inspection,40.73051549,-73.98273155,103,2,3400,1006009,1004410001,MN22
40559634,TICK TOCK DINER,Manhattan,481,8 AVENUE,10001,2122688444,American,8/22/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,36,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75228806,-73.9934022,104,3,11100,1013561,1007580037,MN13
50084922,JUICE POINT,Brooklyn,784,MANHATTAN AVENUE,11222,3472940660,"Juice, Smoothies, Fruit Salads",12/26/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,12/26/2019,4/12/2020,Cycle Inspection / Re-inspection,40.72746866,-73.95288737,301,33,56100,3065327,3025970005,BK76
40914702,PIO PIO,Manhattan,702,AMSTERDAM AVENUE,10025,2126653000,Peruvian,8/29/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,64,,,4/12/2020,Cycle Inspection / Initial Inspection,40.7928,-73.97128853,107,6,18300,1033677,1012420029,MN12
41600159,JUMBO'S HAMBURGERS,Manhattan,274,WEST  145 STREET,10039,2124915444,Hamburgers,9/1/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,A,9/1/2017,4/12/2020,Cycle Inspection / Initial Inspection,40.82244818,-73.94103386,110,9,23200,1060443,1020300005,MN03
50017188,QED,Queens,2716,23RD AVE,11105,3474513873,CafÃ©/Coffee/Tea,7/31/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,7/31/2017,4/12/2020,Cycle Inspection / Initial Inspection,40.77589193,-73.91506097,401,22,9700,4018044,4008530043,QN72
40596377,LOS PAPIS RESTAURANT,Brooklyn,77,BRIDGE STREET,11201,7185966965,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/21/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,2/21/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.70210193,-73.98470813,302,33,2100,3000142,3000550009,BK38
50004623,SCHNIPPERS,Manhattan,570,LEXINGTON AVENUE,10022,2128268100,American,2/14/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75691801,-73.97206567,105,4,10000,1036459,1013050060,MN19
50075375,ATOMIC WINGS,Manhattan,2090,FREDERICK DOUGLASS BOULEVARD,,2126662904,American,7/10/2018,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",N,,,,4/12/2020,Administrative Miscellaneous / Re-inspection,0,0,,,,,1,
50002512,WING LING,Bronx,159B,EAST  170 STREET,10452,7185380278,Chinese,5/23/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,44,,,4/12/2020,Cycle Inspection / Initial Inspection,40.83909773,-73.91474144,204,14,22300,2007996,2028330001,BX63
41463601,JUAN VALDEZ CAFE,Manhattan,140,EAST   57 STREET,10022,9172890981,CafÃ©/Coffee/Tea,5/23/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,24,,,4/12/2020,Cycle Inspection / Initial Inspection,40.76078454,-73.96882609,106,4,11203,1036887,1013110049,MN19
41485041,FULTON GRAND,Brooklyn,1011,FULTON STREET,11238,7183992240,American,12/12/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,22,,,4/12/2020,Cycle Inspection / Initial Inspection,40.68234234,-73.96145359,302,35,22700,3057236,3019910011,BK69
50048685,KENNEDY FRIED CHICKEN,Manhattan,1270,SAINT NICHOLAS AVENUE,10033,3473197841,Chicken,1/19/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,1/19/2018,4/12/2020,Cycle Inspection / Re-inspection,40.84450014,-73.93723727,112,10,26100,1063119,1021300008,MN36
50058910,HUNGER PANG,Brooklyn,1021,CHURCH AVENUE,11218,9176270785,Asian,6/15/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,6/15/2017,4/12/2020,Pre-permit (Operational) / Re-inspection,40.64671494,-73.97003273,314,40,50600,3116328,3050710040,BK42
40376029,MOMS LUNCHEONETTE,Queens,10102,103 AVENUE,11417,7187389553,American,3/14/2020,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,3/14/2020,4/12/2020,Cycle Inspection / Initial Inspection,40.68353886,-73.8404897,410,32,11200,4201304,4095050001,QN54
50019128,IKI MODERN JAPANESE CUISINE,Queens,13342,39TH AVE,11354,7189393388,Japanese,7/13/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,A,7/13/2017,4/12/2020,Cycle Inspection / Initial Inspection,40.75909891,-73.83413912,407,20,87100,4596186,4049737501,QN22
40608746,KANA TAPAS BAR & RESTAURANT,Manhattan,324,SPRING STREET,10013,2123438180,Tapas,9/6/2016,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturerâ€™s documentation not maintained on site.",N,,,,4/12/2020,Trans Fat / Initial Inspection,40.72599304,-74.00930109,102,3,3700,1010345,1005950072,MN24
50047834,SUBWAY,Brooklyn,7810,FLATLANDS AVENUE,11236,7185315003,Sandwiches,6/25/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",N,,,,4/12/2020,Smoke-Free Air Act / Re-inspection,40.63464017,-73.91459653,318,46,95600,3224809,3080150041,BK50
50000458,BEVERLEY PIZZA & CAFE,Brooklyn,358,EAST    2 STREET,11218,7184310222,Pizza,7/8/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,7/8/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.64233611,-73.97816742,312,39,48600,3343493,3053530100,BK41
50002521,JADE PALACE,Bronx,163,EINSTEIN LOOP,10475,7183201584,Chinese,5/14/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,11,A,5/14/2018,4/12/2020,Cycle Inspection / Initial Inspection,40.86405181,-73.82255654,210,12,30200,2095160,2051350210,BX13
50076972,KENNEDY FRIED CHICKEN,Queens,8905C,165TH ST,11432,5168283189,Chicken,5/7/2019,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturerâ€™s documentation not maintained on site.",N,,,,4/12/2020,Trans Fat / Initial Inspection,40.70737825,-73.79608961,412,27,46000,4209605,4097950065,QN61
40389732,GIANDO,Brooklyn,412,KENT AVENUE,11249,7183877000,Italian,7/10/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,7/10/2017,4/12/2020,Cycle Inspection / Re-inspection,40.71033295,-73.96853236,301,33,54900,3059493,3021280001,BK73
50049572,ASIAN 59,Manhattan,207,EAST   59 STREET,10022,2123714777,Chinese/Japanese,4/10/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,40,,,4/12/2020,Cycle Inspection / Initial Inspection,40.76136841,-73.96614013,108,4,11000,1043339,1014140005,MN31
50044246,FLEET BAKERY,Manhattan,24,BOWERY,10013,6462589018,Bakery,10/29/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,10,A,10/29/2019,4/12/2020,Cycle Inspection / Re-inspection,40.71482492,-73.99695908,103,1,2900,1001803,1001630036,MN27
50038120,SHUN WON FLUSHING,Queens,4127,MAIN ST,11355,7184606118,Chinese,7/17/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,40,C,7/17/2018,4/12/2020,Cycle Inspection / Re-inspection,40.75738972,-73.82907192,407,20,85300,4114281,4050430009,QN22
41475817,ARGO TEA CAFE,Manhattan,1792,BROADWAY,10019,6465496328,CafÃ©/Coffee/Tea,7/28/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,27,,,4/12/2020,Cycle Inspection / Initial Inspection,40.76715789,-73.98170035,105,4,13700,1024922,1010300058,MN17
41217194,LIBERTY RESTAURANT,Queens,12916,LIBERTY AVENUE,11419,7183234285,Chinese,3/22/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,7,,,4/12/2020,Cycle Inspection / Initial Inspection,40.68936515,-73.81608188,410,28,15801,4204833,4095830007,QN55
50090718,KENNDY FRIED CHICKEN,Bronx,266,WILLIS AVENUE,10454,7185852440,American,12/19/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,8,A,12/19/2019,4/12/2020,Pre-permit (Operational) / Initial Inspection,40.80952044,-73.92256785,201,8,3900,2092092,2022830001,BX39
50045240,HUNAN BISTRO,Manhattan,96,3 AVENUE,10003,7186685271,Chinese,3/26/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,93,,,4/12/2020,Cycle Inspection / Initial Inspection,40.73228104,-73.98792692,103,2,4200,1084940,1005580032,MN22
50049018,HOA NOODLE AND TEA,Manhattan,401,6 AVENUE,10014,2126338900,Chinese,8/27/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,12,A,8/27/2019,4/12/2020,Cycle Inspection / Re-inspection,40.7333988,-73.99972216,102,3,7100,1010269,1005930022,MN23
50034871,HO'BRAH A TACO JOINT,Staten Island,412,FOREST AVENUE,10301,7184428226,Mexican,9/10/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,25,,,4/12/2020,Cycle Inspection / Initial Inspection,40.63084869,-74.10320319,501,49,5900,5106726,5002530006,SI35
41406895,SUN SAI GAI RESTAURANT,Manhattan,220,CANAL STREET,10013,2129647256,Chinese,11/20/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,58,,,4/12/2020,Cycle Inspection / Initial Inspection,40.71713879,-73.99879513,103,1,2900,1079404,1001990011,MN27
50067088,MAMA KITCHEN NY,Brooklyn,7,ROCHESTER AVENUE,11233,7187713038,Jewish/Kosher,12/17/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,21,,,4/12/2020,Cycle Inspection / Initial Inspection,40.67888386,-73.92737457,303,36,29900,3047997,3017030003,BK61
50086717,THREE OWLS MARKET,Manhattan,800,WASHINGTON STREET,10014,9178104891,American,12/3/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,22,,,4/12/2020,Cycle Inspection / Initial Inspection,40.73884412,-74.00810846,102,3,7900,1085734,1006427502,MN23
41047349,JENNIFER CAFE,Manhattan,67,1 AVENUE,10003,9176745443,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/12/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,16,B,4/12/2018,4/12/2020,Cycle Inspection / Re-inspection,40.72532844,-73.98695046,103,2,3800,1006218,1004460036,MN22
41608200,MIKE'S PIZZA OF BROOKLYN,Brooklyn,2026,BEDFORD AVENUE,11226,7189416224,Pizza,9/19/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,,,4/12/2020,Cycle Inspection / Initial Inspection,40.65532915,-73.95634072,309,40,79601,3115971,3050550059,BK60
50056971,CHUNG KIWA RESTAURANT,Queens,4006,74TH ST,11373,7184780925,Korean,5/9/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,9,A,5/9/2019,4/12/2020,Cycle Inspection / Re-inspection,40.74635478,-73.89134808,404,25,26500,4030458,4013050033,QN50
50065534,YORKVILLE BAGEL & CAFE,Manhattan,1821,2 AVENUE,10128,2129966544,American,6/18/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,19,B,6/18/2019,4/12/2020,Cycle Inspection / Re-inspection,40.78313024,-73.94790801,108,5,15601,1078607,1015400024,MN32
41118287,LA LIBERTAD RESTAURANT,Queens,9619,LIBERTY AVENUE,11417,7183233900,Spanish,8/8/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,37,,,4/12/2020,Cycle Inspection / Initial Inspection,40.68068449,-73.84262375,410,32,4002,4189619,4091190033,QN56
50046906,NETS PRACTICE FACILITY,Brooklyn,168,39 STREET,11232,7182152323,American,1/9/2020,Violations were cited in the following area(s).,20D,"â€œChoking first aidâ€ poster not posted. â€œAlcohol and pregnancyâ€ warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.65575412,-74.01131674,307,38,1800,3337105,3007060001,BK32
40402699,RIVERDALE YACHT CLUB,Bronx,800,WEST 254 STREET & HUDSON RIVER,10471,7185430792,American,10/26/2017,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.90312107,-73.91450344,208,11,30900,2086115,2059300940,BX22
41267566,SMITH & MILLS,Manhattan,71,NORTH MOORE STREET,10013,2122262515,American,1/28/2020,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,4/12/2020,Administrative Miscellaneous / Initial Inspection,40.72008351,-74.009845,101,1,3900,1002123,1001880009,MN24
50060527,WYNDHAM GARDEN FRESH MEADOWS HOTEL,Queens,6127,186TH ST,11365,7186198818,American,5/17/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,7,A,5/17/2018,4/12/2020,Cycle Inspection / Re-inspection,40.73987314,-73.78824203,408,23,134700,4000000,4070750041,QN41
50076589,ME-DO DESSERTS,Brooklyn,3,BAY   25 STREET,11214,6467522646,"Ice Cream, Gelato, Yogurt, Ices",9/11/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,A,9/11/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.60386453,-73.99779964,311,47,28800,3166935,3063760038,BK28
50085965,EL NUEVO GENAO BAR RESTAURANT,Brooklyn,162,THROOP AVENUE,11206,7183840085,Spanish,11/13/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,31,,,4/12/2020,Cycle Inspection / Initial Inspection,40.69958341,-73.94423367,303,36,25700,3048354,3017260025,BK75
40973604,THE PIZZA PLACE,Bronx,4024,WHITE PLAINS ROAD,10466,7185159467,Pizza,5/20/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,25,,,4/12/2020,Cycle Inspection / Initial Inspection,40.88910766,-73.85973122,212,12,40600,2063479,2048400051,BX44
50043617,THE BAD OLD DAYS,Queens,1684,WOODBINE STREET,11385,3476960612,American,10/15/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,10/15/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.70084227,-73.90849214,405,34,54900,4082423,4034500039,QN20
41450073,BIG FLEISHIG'S EXPRESS,Brooklyn,5508,16 AVENUE,11204,7184352779,Jewish/Kosher,2/13/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,5,A,2/13/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.62755976,-73.98913837,312,44,24000,3130638,3054880041,BK88
50003730,NEW DAVE'S,Queens,18524,UNION TPKE,11366,7187762500,Chinese,5/11/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,5,A,5/11/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.7284705,-73.78337511,408,24,127700,4156123,4072560092,QN06
50008241,HEALTHY BITE,Manhattan,3961,207 STREET,,7325479465,American,2/27/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,25,,,4/12/2020,Cycle Inspection / Initial Inspection,0,0,,,,,1,
50045196,CAFE RAE'S,Queens,8229,164TH ST,11432,7183800029,Delicatessen,4/19/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,24,,,4/12/2020,Cycle Inspection / Initial Inspection,40.7184503,-73.80373591,408,24,126700,4152346,4070380017,QN38
50018146,GREGORY'S COFFEE,Manhattan,20,EAST   40 STREET,10016,2125108208,CafÃ©/Coffee/Tea,3/2/2020,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,11,A,3/2/2020,4/12/2020,Cycle Inspection / Initial Inspection,40.75161138,-73.98046666,105,4,8200,1017599,1008690061,MN20
50016317,TEPANGOS PIZZA & MEXICAN FOOD,Bronx,361,EAST  138 STREET,10454,7185857377,Pizza/Italian,8/24/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Y,14,B,8/24/2018,4/12/2020,Cycle Inspection / Re-inspection,40.80951032,-73.92384304,201,8,3900,2000602,2023010040,BX39
50011159,FRAICHE MAXX,Manhattan,213,PARK AVENUE SOUTH,10003,2125108551,American,1/28/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,23,B,1/28/2019,4/12/2020,Cycle Inspection / Re-inspection,40.7369088,-73.9887452,105,2,5000,1017840,1008730004,MN21
50035961,DONG HAI,Brooklyn,5024,7 AVENUE,11220,6462500676,Chinese,11/8/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,,,4/12/2020,Cycle Inspection / Initial Inspection,40.64226117,-74.00611124,307,38,9800,3013365,3007930037,BK34
50062783,TINA'S WHISKEY TAVERN,Staten Island,4060,HYLAN BOULEVARD,10308,7185544470,American,3/5/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,52,,,4/12/2020,Cycle Inspection / Initial Inspection,40.54058172,-74.14744244,503,51,15603,5068206,5053060009,SI54
50045785,CANTINE,Brooklyn,126,UNION STREET,11231,6464727941,American,11/19/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,11,A,11/19/2018,4/12/2020,Cycle Inspection / Re-inspection,40.68420426,-74.00240854,306,39,5100,3004447,3003420015,BK33
50052610,SANTO DOMINGO RESTAURANT,Brooklyn,862,NEW LOTS AVENUE,11208,6466453636,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/24/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,26,B,11/24/2017,4/12/2020,Cycle Inspection / Re-inspection,40.66793529,-73.87903282,305,42,112000,3098302,3044530002,BK82
